Medicine_ID,Counterfeit_Weight,DistArea_ID,Active_Since,Medicine_MRP,Medicine_Type,SidEffect_Level,Availability_rating,Area_Type,Area_City_Type,Area_dist_level,Counterfeit_Sales
UJM11,10.6,Area049,1997,260.1092,Antipyretics,mild,0.029047301,DownTown,Tier 1,Medium,3848.138
ERM22,7.22,Area018,2007,58.5692,Analgesics,critical,0.032278216,Industrial,Tier 3,Medium,556.4228
NDK33,18.8,Area049,1997,151.918,Antimalarial,mild,0.029760075,DownTown,Tier 1,Medium,2210.27
FKW44,20.5,Area010,1996,192.395,Antibiotics,critical,0.013,MidTownResidential,Tier 3,Unknown,845.38
RZH55,10.23,Area013,1985,64.1614,Antiseptics,mild,0.013,DownTown,Tier 3,High,1107.7052
DIA66,11.695,Area018,2007,61.7008,Mstablizers,critical,0.013,Industrial,Tier 3,Medium,669.6088
IKU77,14.95,Area013,1985,67.9588,Hreplacements,critical,0.025741089,DownTown,Tier 3,High,456.5528
ZTE88,NA,Area027,1983,118.0622,Hreplacements,mild,0.140469857,CityLimits,Tier 3,Medium,4135.7636
GUA99,17.5,Area045,2000,107.2726,OralContraceptives,critical,0.029687114,DownTown,Tier 2,Unknown,1189.5986
JJQ10,20.5,Area017,2005,198.1214,OralContraceptives,critical,0.10744959,DownTown,Tier 2,Unknown,4823.535
EXH11,13.1,Area049,1997,55.8402,Antibiotics,mild,0.013,DownTown,Tier 1,Medium,1629.0266
QBV12,19.8,Area046,1995,154.4102,Antipyretics,critical,0.058463773,DownTown,Tier 1,Small,2300.153
THL13,16.4,Area049,1997,155.7786,Antibiotics,critical,0.1130135,DownTown,Tier 1,Medium,1702.2646
GKK14,18.9,Area046,1995,129.9782,Hreplacements,critical,0.060257328,DownTown,Tier 1,Small,2258.2076
LDO15,17.65,Area013,1985,206.7426,Antibiotics,mild,0.0810243,DownTown,Tier 3,High,2090.426
JES16,10.3,Area046,1995,66.6614,Stimulants,critical,0.082088961,DownTown,Tier 1,Small,1660.3192
OCC17,13.1,Area018,2007,125.6492,Tranquilizers,mild,0.021596051,Industrial,Tier 3,Medium,1734.8888
JES16,10.3,Area049,1997,64.6614,Stimulants,critical,0.082196376,DownTown,Tier 1,Medium,831.3982
VTP18,NA,Area027,1983,123.5834,Statins,mild,0.047237682,CityLimits,Tier 3,Medium,2416.668
DCB19,14.65,Area035,2002,240.8352,Antipyretics,mild,0.11549212,DownTown,Tier 2,Small,2861.4224
ASL20,20.15,Area013,1985,261.1724,Hreplacements,critical,0.151190277,DownTown,Tier 3,High,3888.086
OHY21,NA,Area027,1983,154.8444,Mstablizers,critical,0.048399923,CityLimits,Tier 3,Medium,4177.0432
SMU22,15.9,Area035,2002,206.8084,Antiseptics,mild,0.038698134,DownTown,Tier 2,Small,1700.2672
FOK23,NA,Area019,1983,117.9938,Mstablizers,mild,0.070556998,MidTownResidential,Tier 1,Small,327.3876
WEE24,15.15,Area046,1995,175.321,OralContraceptives,critical,0.038896485,DownTown,Tier 1,Small,4191.025
KLY25,14.3,Area017,2005,56.206,Antiseptics,mild,0.112887103,DownTown,Tier 2,Unknown,951.908
OOB26,8.945,Area035,2002,52.6112,Hreplacements,critical,0.079693437,DownTown,Tier 2,Small,1178.28
YMG27,12.95,Area013,1985,49.4164,Statins,mild,0.032356132,DownTown,Tier 3,High,421.9312
GPT28,7.225,Area010,1996,55.8086,Antipyretics,critical,0.174466534,MidTownResidential,Tier 3,Unknown,291.4344
KJA29,NA,Area019,1983,53.9454,Cardiac,critical,0.085221801,MidTownResidential,Tier 1,Small,238.8362
OJT30,20.55,Area010,1996,66.0956,Antipyretics,mild,0.183348551,MidTownResidential,Tier 3,Unknown,276.7868
BNA31,19.9,Area018,2007,106.7436,Tranquilizers,mild,0.093829372,Industrial,Tier 3,Medium,2854.7644
ZEE32,20,Area018,2007,266.9672,Hreplacements,mild,0.013,Industrial,Tier 3,Medium,3181.0064
BDC33,19.15,Area045,2000,103.4436,Antacids,mild,0.013,DownTown,Tier 2,Unknown,2287.5028
DOS34,18.8,Area046,1995,185.1738,Analgesics,mild,0.110904029,DownTown,Tier 1,Small,2198.2856
DEE35,11.3,Area049,1997,157.0102,Tranquilizers,mild,0.102291137,DownTown,Tier 1,Medium,3904.0652
HNB36,NA,Area027,1983,138.3678,Antibiotics,critical,0.072511812,CityLimits,Tier 3,Medium,2910.6916
WVF37,10.15,Area018,2007,132.8388,Analgesics,critical,0.126123893,Industrial,Tier 3,Medium,1722.9044
HAW38,NA,Area027,1983,47.2874,Hreplacements,critical,0.136111453,CityLimits,Tier 3,Medium,501.1614
HVG39,NA,Area027,1983,97.9198,Hreplacements,mild,0.039480954,CityLimits,Tier 3,Medium,2293.495
DCB19,14.65,Area046,1995,240.9352,Antipyretics,mild,0.115511504,DownTown,Tier 1,Small,3548.528
JVE40,11.1,Area013,1985,136.302,Antimalarial,mild,0.03981843,DownTown,Tier 3,High,2263.534
YXI41,14.9,Area049,1997,203.2136,Hreplacements,mild,0.130818348,DownTown,Tier 1,Medium,2640.3768
AQW42,22.65,Area018,2007,270.2278,Cardiac,mild,0.082102831,Industrial,Tier 3,Medium,6881.5228
CBZ43,13.45,Area013,1985,136.8046,Cardiac,critical,0.055277867,DownTown,Tier 3,High,486.5138
ZQK44,7.72,Area010,1996,188.4002,Antipyretics,mild,0.102498926,MidTownResidential,Tier 3,Unknown,471.2004
CYJ45,20.9,Area045,2000,163.6024,Tranquilizers,mild,0.013,DownTown,Tier 2,Unknown,2541.8384
YDR46,11.3,Area045,2000,275.5226,Cardiac,mild,0.038879577,DownTown,Tier 2,Unknown,5928.0972
EBS47,17.15,Area046,1995,70.922,Mstablizers,critical,0.134632721,DownTown,Tier 1,Small,2689.646
